ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment
Dynamics 365 Field Service - Resource Scheduling Optimization,CFQ7TTC0LFDN,000B,Dynamics 365 Field Service - Resource Scheduling Optimization (Non-Profit Pricing),Microsoft Corporation,"Dynamics 365 Field Service, Enterprise Edition - Resource Scheduling Optimization",,P1Y,Annual,US,USD,226.8,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,252,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,19,Dynamics 365 Finance (Non-Profit Pricing),Microsoft Corporation,Base user subscription offering for Dynamics 365 Finance,,P3Y,Monthly,US,USD,2332.8,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,2592,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,19,Dynamics 365 Finance (Non-Profit Pricing),Microsoft Corporation,Base user subscription offering for Dynamics 365 Finance,,P3Y,Annual,US,USD,2332.8,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,2592,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,001B,Dynamics 365 Finance Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Finance. Requires qualifying Dynamics 365 base offer.,,P1Y,Annual,US,USD,162,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,180,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,001B,Dynamics 365 Finance Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Finance. Requires qualifying Dynamics 365 base offer.,,P1Y,Monthly,US,USD,162,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,180,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,001B,Dynamics 365 Finance Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Finance. Requires qualifying Dynamics 365 base offer.,,P3Y,Monthly,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Finance,CFQ7TTC0LGV4,001B,Dynamics 365 Finance Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Finance. Requires qualifying Dynamics 365 base offer.,,P3Y,Annual,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Fraud Protection - Loss Prevention,CFQ7TTC0HD40,7,Dynamics 365 Fraud Protection Loss Prevention (Non-Profit Pricing),Microsoft Corporation,Tenant level base subscription to Dynamics 365 Fraud Protection - Loss Prevention,,P1Y,Monthly,US,USD,5400,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,6000,Charity
Dynamics 365 Fraud Protection - Loss Prevention,CFQ7TTC0HD40,7,Dynamics 365 Fraud Protection Loss Prevention (Non-Profit Pricing),Microsoft Corporation,Tenant level base subscription to Dynamics 365 Fraud Protection - Loss Prevention,,P1Y,Annual,US,USD,5400,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,6000,Charity
Dynamics 365 Fraud Protection - Loss Prevention,CFQ7TTC0HD40,8,Dynamics 365 Fraud Protection Loss Prevention Addon (Non-Profit Pricing),Microsoft Corporation,Additional Transactions on top of the Dynamics 365 Fraud Protection -  Loss Prevention Subscription,,P1Y,Monthly,US,USD,810,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,900,Charity
Dynamics 365 Fraud Protection - Loss Prevention,CFQ7TTC0HD40,8,Dynamics 365 Fraud Protection Loss Prevention Addon (Non-Profit Pricing),Microsoft Corporation,Additional Transactions on top of the Dynamics 365 Fraud Protection -  Loss Prevention Subscription,,P1Y,Annual,US,USD,810,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,900,Charity
Dynamics 365 Guides,CFQ7TTC0LGV7,000B,Dynamics 365 Guides (Non-Profit Pricing),Microsoft Corporation,User subscription for individuals who want to access Dynamics 365 Guides on any device.,,P1Y,Monthly,US,USD,249.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,312,Charity
Dynamics 365 Guides,CFQ7TTC0LGV7,000B,Dynamics 365 Guides (Non-Profit Pricing),Microsoft Corporation,User subscription for individuals who want to access Dynamics 365 Guides on any device.,,P1Y,Annual,US,USD,249.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,312,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,11,Dynamics 365 Human Resources (Non-Profit Pricing),Microsoft Corporation,User subscription that inclues Dynamics 365 for Human Resources.,,P1Y,Monthly,US,USD,518.4,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,576,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,11,Dynamics 365 Human Resources (Non-Profit Pricing),Microsoft Corporation,User subscription that inclues Dynamics 365 for Human Resources.,,P1Y,Annual,US,USD,518.4,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,576,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,14,Dynamics 365 Human Resources Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Human Resources. Requires qualifying Dynamics 365 base offer.,,P1Y,Monthly,US,USD,129.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,144,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,14,Dynamics 365 Human Resources Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Human Resources. Requires qualifying Dynamics 365 base offer.,,P1Y,Annual,US,USD,129.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,144,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,17,Dynamics 365 Human Resources Self Service (Non-Profit Pricing),Microsoft Corporation,User subscription that includes employee and manager self service rights.,,P1Y,Monthly,US,USD,17.28,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,19.2,Charity
Dynamics 365 Human Resources,CFQ7TTC0HD4G,17,Dynamics 365 Human Resources Self Service (Non-Profit Pricing),Microsoft Corporation,User subscription that includes employee and manager self service rights.,,P1Y,Annual,US,USD,17.28,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,19.2,Charity
Dynamics 365 Operations – Activity,CFQ7TTC0LHX0,000H,Dynamics 365 Operations – Activity (36 mo) (Non-Profit Pricing),Microsoft Corporation,"User subscription that includes Dynamics 365 Operations Activity, Enterprise Edition.",,P3Y,Monthly,US,USD,405,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,450,Charity
Dynamics 365 Operations – Activity,CFQ7TTC0LHX0,000H,Dynamics 365 Operations – Activity (36 mo) (Non-Profit Pricing),Microsoft Corporation,"User subscription that includes Dynamics 365 Operations Activity, Enterprise Edition.",,P3Y,Annual,US,USD,405,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,450,Charity
Dynamics 365 Operations – Device,CFQ7TTC0LHVJ,9,Dynamics 365 Operations – Device (36 mo) (Non-Profit Pricing),Microsoft Corporation,"Device subscription plan that includes Dynamics 365 Operations, Enterprise edition - Device functionality only",,P3Y,Monthly,US,USD,609.12,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,676.8,Charity
Dynamics 365 Operations – Device,CFQ7TTC0LHVJ,9,Dynamics 365 Operations – Device (36 mo) (Non-Profit Pricing),Microsoft Corporation,"Device subscription plan that includes Dynamics 365 Operations, Enterprise edition - Device functionality only",,P3Y,Annual,US,USD,609.12,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,676.8,Charity
